100,15
Block 1,0,9
Block 1,2,9
Block 1,4,8
Block 1,6,8
Block 1,8,8
Block 1,10,7
Block 1,12,7
Block 1,14,6
Block 1,16,5
Block 1,18,5
Block 1,20,4
Block 1,22,4
Block 1,24,3
Block 1,26,3
Block 1,28,3
Block 1,30,2
Block 1,32,2
Block 1,34,2
Block 1,36,2
Block 1,38,2
Block 1,40,2
Block 3,42,2
Block 3,44,2
Block 3,46,2
Block 3,48,2
Block 3,62,4
Block 3,66,5
Castle,82,4
Cloud Block,71,4
Tree,59,5
Snow Tree,53,5
Greebo,36,11
Block 1,1,9
Block 1,3,9
Block 1,5,8
Block 1,7,8
Block 1,9,7
Block 1,11,7
Goomba,11,8
Block 1,13,7
Block 1,15,6
Block 1,17,5
Block 1,19,4
Block 1,21,4
Block 1,23,3
Block 1,25,3
Block 1,27,3
Koopa,27,4
Koopa,38,3
Hard Shell,18,6
Block 1,29,2
Block 1,31,2
Block 1,33,2
Block 1,35,2
Block 1,37,2
Block 1,39,2
Block 1,41,2
Block 3,43,2
Block 3,45,2
Block 3,47,2
Block 3,49,2
Block 3,51,3
Block 3,52,3
Block 3,53,4
Block 3,54,4
Block 3,55,4
Block 3,56,4
Block 3,57,4
Block 3,58,4
Block 3,59,4
Block 3,60,4
Block 3,61,4
Block 3,63,4
Block 3,65,5
Block 3,64,5
Block 1,3,8
Block 1,8,7
Block 1,13,6
Block 1,15,5
Block 1,18,4
Block 1,22,3
Block 1,29,3
Block 3,52,4
Block 3,50,3
Block 3,49,3
Block 3,63,5
Cloud Block,72,4
Bar 1,79,3
Bar 1,87,3
Bar 2,77,3
Bar 2,90,3
Stair 1,82,3
Stair 1,83,3
Stair 1,84,3
Stair 1,85,3
Stair 1,86,3
Coin,68,8
Coin,69,8
Coin,67,7
Coin,70,8
Coin,71,7
Coin,72,6
Coin,73,7
Coin,74,7
Coin,75,7
Coin,76,6
Cloud,77,10
Cloud,65,11
Cloud,54,10
Cloud,46,9
Cloud,38,8
Cloud,29,10
Cloud,22,10
Question 1,16,11
Question 1,18,11
Block 1,17,11
Ground,95,0
Ground,96,0
Ground,97,0
Ground,98,0
Ground,99,0
Tree,44,3
